Student_id,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average
0,0.137931034482759,0.229885057471265,0.229885057471264,0,0.119540229885058,0,0,0.0333333333333333,0,0.00285227756492126
1,0.0333333333333333,0,0,0.0931034482758621,0.185057471264368,0,0.248275862068966,0,0.202298850574713,0.00404427415921667
2,0.23448275862069,0.064367816091954,0.309195402298851,0.419540229885057,0.133333333333333,0,0.0333333333333333,0,0.3,0.0234993614303959
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0.0333333333333333,0,0.0333333333333333,0,0,0,0,0.000794664396196959
5,0.396551724137931,0.0333333333333333,0.0931034482758621,0,0,0,0,0.0931034482758621,0,0.00488150986235278
6,0.0643678160919541,0,0.258620689655172,0,0,0,0,0,0.0333333333333333,0.00317865758478785
7,0,0,0,0,0,0,0,0,0,0
8,0.119540229885057,0.202298850574713,0.16551724137931,0,0.258620689655172,0,0,0,0,0.0043280828721442
9,0.16551724137931,0,0.0333333333333333,0,0,0,0,0.257471264367816,0,0.00268199233716473
10,0.0333333333333333,0,0.185057471264368,0,0,0,0,0,0,0.00249751667376186
11,0.464367816091954,0.0931034482758621,0.16551724137931,1.35747126436782,0.424137931034483,0,0,0,1.4816091954023,0.0183908045977012
